"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
10436134,-23.3,-8.4,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-19","1998-06-19",2,1,1,,,,"5002:383:132","POLYGON((-23.2 -8.3,-23.2 -8.4,-23.3 -8.4,-23.3 -8.3,-23.2 -8.3))"
10435954,-23.3,-6.9,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-21","1998-06-21",1,1,1,,,,"5002:363:382","POLYGON((-23.2 -6.8,-23.2 -6.9,-23.3 -6.9,-23.3 -6.8,-23.2 -6.8))"
10435950,-23.2,-6.7,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-17","1997-07-17",1,1,1,,,,"5002:363:362","POLYGON((-23.2 -6.6,-23.2 -6.7,-23.3 -6.7,-23.3 -6.6,-23.2 -6.6))"
10436686,-23.1,-10.5,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-14","1998-06-14",1,1,1,,,,"5102:103:351","POLYGON((-23.1 -10.5,-23.1 -10.6,-23.2 -10.6,-23.2 -10.5,-23.1 -10.5))"
10436680,-23.2,-10.1,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-19","1998-06-19",1,1,1,,,,"5102:103:111","POLYGON((-23.1 -10.1,-23.1 -10.2,-23.2 -10.2,-23.2 -10.1,-23.1 -10.1))"
10436233,-23.2,-9.4,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-17","1997-07-17",1,1,1,,,,"5002:393:141","POLYGON((-23.1 -9.4,-23.1 -9.5,-23.2 -9.5,-23.2 -9.4,-23.1 -9.4))"
10436228,-23.2,-9.2,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-07-12","1998-07-12",1,1,1,,,,"5002:393:121","POLYGON((-23.1 -9.2,-23.1 -9.3,-23.2 -9.3,-23.2 -9.2,-23.1 -9.2))"
10436143,-23.1,-8.6,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-08","1997-07-08",2,1,1,,,,"5002:383:361","POLYGON((-23.1 -8.6,-23.1 -8.7,-23.2 -8.7,-23.2 -8.6,-23.1 -8.6))"
10436132,-23.2,-8.2,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-17","1998-06-17",1,1,1,,,,"5002:383:111","POLYGON((-23.1 -8.1,-23.1 -8.2,-23.2 -8.2,-23.2 -8.1,-23.1 -8.1))"
10436016,-23.2,-7.6,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-20","1998-06-20",2,1,1,,,,"5002:373:361","POLYGON((-23.1 -7.6,-23.1 -7.7,-23.2 -7.7,-23.2 -7.6,-23.1 -7.6))"
