,occurrenceID,scientificName,dateIdentified,eventDate,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,individualCount,lifeStage,sex,bathymetry,shoredistance,sst,sss
11,1255_768265,Eretmochelys imbricata,2010-10-07T09:29:26/2010-10-07T09:29:26,2010-10-07T09:29:26/2010-10-07T09:29:26,24.5,55.5,111319.49,1,Adult,Female,-219,-69064,NA,NA
12,1257_59952,Eretmochelys imbricata,2011-04-13T15:56:01/2011-06-05T13:32:55,2011-04-13T15:56:01/2011-06-05T13:32:55,23.5,58.5,111319.49,3,Adult,Female;Male,-112,-13462,NA,NA
13,1255_768520,Eretmochelys imbricata,2010-06-02T17:12:57/2010-06-02T20:03:31,2010-06-02T17:12:57/2010-06-02T20:03:31,21.5,58.5,111319.49,1,Adult,Female,-147,-59307,NA,NA
14,1498_875713,Eretmochelys imbricata,2018-06-13T05:00:34/2018-06-14T17:55:58,2018-06-13T05:00:34/2018-06-14T17:55:58,26.5,54.5,111319.49,2,Subadult,Unknown,25,10239,27.98,37.47
15,1257_60026,Eretmochelys imbricata,2011-05-01T13:00:48/2011-05-03T22:18:37,2011-05-01T13:00:48/2011-05-03T22:18:37,23.5,60.5,111319.49,1,Adult,Female,3352,128960,27.17,36.65
16,1255_762937,Eretmochelys imbricata,2010-06-09T08:14:18/2013-05-18T16:59:49,2010-06-09T08:14:18/2013-05-18T16:59:49,27.5,49.5,111319.49,1,Adult,Female,7,16294,26.26,37.16
17,1257_67049,Eretmochelys imbricata,2011-05-26T12:51:19/2011-07-15T19:34:44,2011-05-26T12:51:19/2011-07-15T19:34:44,25.5,50.5,111319.49,1,Adult,Female,45,7713,26.67,36.91
18,1255_768270,Eretmochelys imbricata,2010-05-28T12:48:38/2012-03-23T12:48:43,2010-05-28T12:48:38/2012-03-23T12:48:43,24.5,54.5,111319.49,3,Adult,Female,-1,84,NA,NA
19,1255_764470,Eretmochelys imbricata,2010-04-23T08:59:59/2010-04-27T09:06:03,2010-04-23T08:59:59/2010-04-27T09:06:03,27.5,52.5,111319.49,2,Adult,Female,37,6400,27.86,38.43
20,1255_768969,Eretmochelys imbricata,2010-11-01T13:48:14/2010-11-01T13:48:14,2010-11-01T13:48:14/2010-11-01T13:48:14,20.5,61.5,111319.49,1,Adult,Female,3469,246530,26.89,36.33
21,1282_194994,Eretmochelys imbricata,2012-06-24T09:26:09/2012-06-24T09:26:09,2012-06-24T09:26:09/2012-06-24T09:26:09,26.5,47.5,111319.49,1,Adult,Female,-385,-181335,NA,NA
22,1255_768711,Eretmochelys imbricata,2010-05-27T20:37:20/2010-05-27T20:37:20,2010-05-27T20:37:20/2010-05-27T20:37:20,24.5,50.5,111319.49,1,Adult,Female,-128,-36580,NA,NA
23,1257_62271,Eretmochelys imbricata,2011-04-17T20:37:23/2012-06-25T12:51:58,2011-04-17T20:37:23/2012-06-25T12:51:58,20.5,58.5,111319.49,6,Adult,Female;Male,-1,-3895,26.03,35.94
24,1255_765466,Eretmochelys imbricata,2010-04-19T14:04:05/2010-05-24T20:34:33,2010-04-19T14:04:05/2010-05-24T20:34:33,26.5,53.5,111319.49,5,Adult,Female,83,21081,27.99,38.07
25,1255_765716,Eretmochelys imbricata,2010-11-07T09:32:46/2010-11-07T09:32:46,2010-11-07T09:32:46/2010-11-07T09:32:46,27.5,45.5,111319.49,1,Adult,Female,-469,-298576,NA,NA
26,1282_206510,Eretmochelys imbricata,2012-08-26T13:46:15/2013-05-25T02:59:26,2012-08-26T13:46:15/2013-05-25T02:59:26,25.5,50.5,111319.49,2,Adult,Female,45,7713,26.67,36.91
27,1255_766378,Eretmochelys imbricata,2010-07-02T07:10:13/2010-07-02T07:10:13,2010-07-02T07:10:13/2010-07-02T07:10:13,22.5,61.5,111319.49,1,Adult,Female,3188,170852,26.78,36.46
28,1255_768726,Eretmochelys imbricata,2010-06-06T09:19:29/2012-11-11T08:45:44,2010-06-06T09:19:29/2012-11-11T08:45:44,27.5,48.5,111319.49,2,Adult,Female,-53,-35936,NA,NA
29,1257_79959,Eretmochelys imbricata,2011-07-17T14:50:43/2011-10-26T18:54:18,2011-07-17T14:50:43/2011-10-26T18:54:18,26.5,53.5,111319.49,2,Adult,Female,83,21081,27.99,38.07
30,1255_765629,Eretmochelys imbricata,2010-08-08T21:41:44/2010-08-08T21:41:44,2010-08-08T21:41:44/2010-08-08T21:41:44,28.5,64.5,111319.49,1,Adult,Female,-1139,-335692,NA,NA
31,1257_81062,Eretmochelys imbricata,2011-05-14T12:42:17/2013-02-20T09:19:57,2011-05-14T12:42:17/2013-02-20T09:19:57,25.5,53.5,111319.49,12,Adult,Female,30,69682,28.04,38.52
